Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Calgary Flames,1990,46,26,,0.575,344,263,81
Chicago Blackhawks,1990,49,23,,0.613,284,211,73
Los Angeles Kings,1990,46,24,,0.575,340,254,86
Montreal Canadiens,1990,39,30,,0.487,273,249,24
New Jersey Devils,1990,32,33,,0.4,272,264,8
New York Rangers,1990,36,31,,0.45,297,265,32
St. Louis Blues,1990,47,22,,0.588,310,250,60
Chicago Blackhawks,1991,36,29,,0.45,257,236,21
